Tour d'admission;Population;Sanction collégiale;GENMELS;SN4;TS_SN4;TS4_SN4+;CST5;TS_SN5;TS5;436;514;514+;526;526+;536;Renforcement en français;Étudiant international;Étudiant assujetti au R18;Services adaptés;Cours inscrits actuellement;Cours inscrits session passé
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"3500BDFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX";"42005BFX;C; 42007BFX;B; 42014BFX;C; 42016BFX;D; 601103MQ;D; 604100MQ;C"
4;B;non;78,64;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"201103RE; 42005CFX; 42008CFX; 42014CFX; 601102MQ";aucune donnée
1;A;non;75,64;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"3500BDFX; 42008DFX; 42014DFX; 42014EFX; 42016DFX";"42005CFX;D; 42008CFX;A; 42014CFX;C; 601103MQ;D"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;oui;oui;"340102MQ; 3500BDFX; 42004AFX; 601101MQ";"109C08FX;C; 42004AFX;E; 42005AFX;C; 42016BFX;D; 601101MQ;E"
1;A;non;66,82;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42002FFX; 42012YFX";"3500BDFX;B; 42008DFX;B; 42014DFX;C; 42015DFX;C; 42016DFX;D; 601103MQ;D; 604C2GFX;C"
2;B;non;70,59;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"109A01FX; 201103RE; 42005CFX; 42008CFX; 42014CFX; 42016BFX; 604C2GFX";"109B02FX;C; 42004AFX;C; 42005AFX;C; 42006AFX;D; 601101MQ;D; 604102MQ;B"
1;A;non;82,09;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42002FFX; 42012YFX";"3500BDFX;B; 42008DFX;C; 42014DFX;B; 42015DFX;C; 42016DFX;A; 510C01FX;C; 604C3DFX;B"
2;B;non;79,65;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"201203RE; 3500BDFX; 42005CFX; 42008CFX; 42014CFX";"201105RE;D; 340CJAFX;D; 42005BFX;D; 42007BFX;D; 42014BFX;E; 42016BFX;D; 601CJCFX;C"
2;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RP;non;non;"42007EFX; 42008EFX; 42014EFX";"109C01FX;B; 3500BDFX;B; 42008DFX;A; 42014CFX;B; 42015DFX;B; 42016DFX;A"
2;B;non;66,81;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"42002FFX; 42012YFX";"3500BDFX;D; 42008DFX;A; 42014DFX;A; 42015DFX;A"
1;B;non;81,29;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42002FFX; 42012YFX";"3500BDFX;A; 42008DFX;A; 42014DFX;A; 42015DFX;A; 42016DFX;A"
