Tour d'admission;Population;Sanction collégiale;GENMELS;SN4;TS_SN4;TS4_SN4+;CST5;TS_SN5;TS5;436;514;514+;526;526+;536;Renforcement en français;Étudiant international;Étudiant assujetti au R18;Services adaptés;Cours inscrits actuellement;Cours inscrits session passé
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"42008DFX; 42014DFX; 42015DFX; 42016DFX; 601103MQ; 604C1BFX";"109A13FX;B; 3500BDFX;A; 42005CFX;B; 42006CFX;B; 42008CFX;A; 42014CFX;B"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"42005CFX; 42006CFX; 42008CFX; 42014CFX; 604C0HFX";"42005BFX;C; 42007BFX;B; 42014BFX;C; 42016BFX;D; 601103MQ;D; 604100MQ;C"
4;B;non;78,64;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"109B19FX; 340102MQ; 42005BFX; 42014BFX; 601102MQ; 604C2GFX";aucune donnée
1;A;non;78,1;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"201103RE; 42014CFX; 601103MQ; 604C2GFX";"201103RE;E; 42005CFX;E; 42006CFX;D; 42008CFX;C; 42014CFX;E"
1;A;non;75,64;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"109C01FX; 201203RE; 42006CFX; 42015DFX";"42005CFX;D; 42008CFX;A; 42014CFX;C; 601103MQ;D"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;oui;oui;"340101MQ; 370CJAIN; 42004AFX; 42006CFX; 42007BFX";"109C08FX;C; 42004AFX;E; 42005AFX;C; 42016BFX;D; 601101MQ;E"
1;A;non;66,82;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"370CJA03; 42006EFX; 42007EFX; 42008EFX; 42014EFX; 601CJCFX";"3500BDFX;B; 42008DFX;B; 42014DFX;C; 42015DFX;C; 42016DFX;D; 601103MQ;D; 604C2GFX;C"
3;A;non;70,33;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"332C01FX; 42005BFX; 42007BFX; 42014BFX; 601101MQ; 604C2GFX";"42005AFX;D; 42007BFX;E; 42016BFX;D; 601101MQ;E; 604102MQ;D"
5;B;non;90,1;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"360300RE; 520CJFFX; 530CJAFX; 601CJBFX";"340CJCFX;B; 3500BDFX;B; 42006CFX;C; 601103MQ;C"
1;B;non;70,59;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"20101AFX; 340101MQ; 42005BFX; 42007BFX; 42014BFX; 601102MQ";"109B02FX;C; 42004AFX;C; 42005AFX;C; 42006AFX;D; 601101MQ;D; 604102MQ;B"
2;B;non;62,88;Oui;Oui;Oui;Non;En Cours;Non;Non;Non;Non;Non;Non;Non;oui;CC;oui;non;"201015RE; 340101MQ; 42004AFX; 42005AFX; 42006AFX; 601R13FX";aucune donnée
1;A;non;82,09;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"109C22FX; 340CJAFX; 42006EFX; 42007EFX; 42008EFX; 42014EFX; 601CJVFX";"3500BDFX;B; 42008DFX;C; 42014DFX;B; 42015DFX;C; 42016DFX;A; 510C01FX;C; 604C3DFX;B"
2;B;non;79,65;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42005CFX; 42006CFX; 42014BFX; 604C2GFX";"201105RE;D; 340CJAFX;D; 42005BFX;D; 42007BFX;D; 42014BFX;E; 42016BFX;D; 601CJCFX;C"
2;B;non;81,3;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"201203RE; 42005BFX; 42014BFX; 601102MQ";"201103RE;D; 340CJAFX;C; 42005BFX;E; 42007BFX;C; 42014BFX;E; 601102MQ;E; 604C3DFX;D"
